"","logFC.F1...F0","logFC.F2...F0","logFC.F3...F0","logFC.F4...F0","logCPM","F","PValue","FDR"
"AC068985.1",4.04428950474711,3.99819596968234,4.60989799297458,3.8924066725292,-1.00676477512506,0.654917414852174,0.625607058379789,0.829120639343079
"SLC4A10",0.987537266848639,0.97364615004633,0.541781519133806,0.876860656951126,1.45357874468625,0.65624942058848,0.625661465242721,0.829140472945375
"AC022087.1",0.745296836784355,1.06884931574203,1.0707395242064,0.632148313475026,2.10396481646814,0.656360076304974,0.625870464461447,0.829322554637159
"ARVCF",-0.23173272785008,-0.311165273685661,-0.523871873156883,-0.438728860043528,3.96410633466648,0.656690503860766,0.625877762787486,0.829322554637159
"BMP1",-0.246343771512281,-0.348993290416838,-0.389940200951439,-0.22001119632969,5.84942886224478,0.656605647751144,0.625940573811861,0.829353507038506
"NCDN",-0.394771299104617,-0.326458160661978,-0.483195169346849,-0.0059684292585219,2.22239702603638,0.655764817612372,0.62622310430317,0.829675559252615
"RNF165",-0.120683945674676,-0.396407190013437,-0.274632864052883,-0.29423211191393,6.76573712939478,0.656042336731316,0.626320546065902,0.829735189269933
"VWA8",0.0340484679535891,-0.0849850478201645,-0.0276580216146953,-0.287000239261288,9.26865768501854,0.656002066093446,0.62634705158998,0.829735189269933
"CHMP4B",-0.298837337355038,-0.204855440581906,-0.240871474591654,-0.246207239570187,4.53302905110287,0.655799188715567,0.626494635884979,0.829818072885173
"C9orf43",0.0464431028008524,-0.249241163902641,-0.144341647994724,-0.144633655287516,2.16195721638944,0.655367909023467,0.626499608715752,0.829818072885173
"CPTP",0.23792767326787,-0.0166882505929883,-0.0302041257033628,0.540139495040174,1.67257284530749,0.655099509864992,0.62652803980751,0.829818072885173
"MIR663AHG",-1.09412128112809,-0.994844486049564,-0.664698632390357,-0.0691872917738161,1.27597397079203,0.654737268081895,0.62664411815178,0.829884429483469
"ATAD1",0.168787946028213,0.0119191890877024,0.129725537182281,-0.0673922779189467,5.79960993870696,0.655550651763826,0.626657094168994,0.829884429483469
"ZNF638",-0.0836853654122156,-0.184157068248832,-0.142944019968447,-0.220614617335252,9.15827833374731,0.655235771557689,0.626867718925557,0.830080766824588
"RFPL3S",-0.486951859976281,-0.448541673908914,-0.521642602692506,0.0138857170980696,0.823463451687234,0.654175749408754,0.626953463576235,0.830080766824588
"CCNY",0.0930917459768606,-0.0810298717779198,0.0449246839595404,-0.0233291567101635,7.97662901403506,0.655051416361128,0.626993131036985,0.830080766824588
"SGMS1-AS1",-0.175775253999496,-0.322299112799154,-0.134855099934806,-0.11153874916638,3.88746910337291,0.65503772778032,0.626996265948074,0.830080766824588
"AL031058.1",-0.411828102465535,-0.140663870338955,-0.90374742244669,-0.188672954478559,-0.279161786825618,0.653372506983926,0.627002782628087,0.830080766824588
"AC016682.1",-0.0487457127898549,0.127482283510056,0.255264638534699,-0.422480207732521,1.61078779871808,0.654107229508094,0.627226581685646,0.830184154610677
"CEPT1",0.124565243069529,0.123005039280226,0.0531810682267093,-0.200857752706051,6.62050901915907,0.654687796879863,0.627241081823812,0.830184154610677
"AL590133.1",1.42949475049186,1.28801814788394,1.2211253308297,1.0443669372281,0.2335725527223,0.653325060325186,0.627250153688581,0.830184154610677
"RPP14",-0.0389655360816453,-0.0944422724178214,-0.0914377066028563,-0.271379670029877,3.92814440752142,0.654672481322186,0.627250256855552,0.830184154610677
"GRIA1",0.511588081412578,0.546300007495936,0.822386328185091,1.12512396144571,1.12393943075296,0.653720258460031,0.627352751721515,0.830184154610677
