set,arm,gene,in_p1,in_p2,in_sig,kept
full,pericentral,RCL1,True,True,True,True
full,pericentral,TTPA,True,True,True,True
full,pericentral,GADD45A,True,True,True,True
full,pericentral,GCLC,True,True,True,True
full,pericentral,UBXN4,True,True,True,True
full,pericentral,HNF1A,True,True,True,True
full,pericentral,SUPT5H,True,True,True,True
full,pericentral,VMP1,True,True,True,True
full,pericentral,UBR2,True,True,True,True
full,pericentral,CRLS1,True,True,True,True
full,pericentral,MAPK8IP3,True,True,True,True
full,pericentral,MAT1A,True,True,True,True
full,pericentral,LHPP,True,True,True,True
full,pericentral,NDRG2,True,True,True,True
full,pericentral,MAST3,True,True,True,True
full,pericentral,SFXN5,True,True,True,True
full,pericentral,WDR26,True,True,True,True
full,pericentral,USP15,True,True,True,True
full,pericentral,ETFA,True,True,True,True
full,pericentral,IRS1,True,True,True,True
full,pericentral,IMPA1,True,True,True,True
full,pericentral,CIRBP,True,True,True,True
full,pericentral,SARDH,True,True,True,True
full,pericentral,SCRIB,True,True,True,True
full,pericentral,RANBP10,True,True,True,True
full,pericentral,CRTC2,True,True,True,True
full,pericentral,PHACTR4,True,True,True,True
full,pericentral,FBXO9,True,True,True,True
full,pericentral,SLCO1B1,True,True,True,True
full,pericentral,SFXN1,True,True,True,True
full,pericentral,KLF15,True,True,True,True
full,pericentral,ACAT1,True,True,True,True
full,pericentral,TUT7,True,True,True,True
full,pericentral,ESRP2,True,True,True,True
full,pericentral,BRD2,True,True,True,True
full,pericentral,ASH1L,True,True,True,True
full,pericentral,USP19,True,True,True,True
full,pericentral,PDK4,True,True,True,True
full,pericentral,NUMA1,True,True,True,True
full,pericentral,ULK1,True,True,True,True
full,pericentral,MLPH,True,True,True,True
full,pericentral,BCS1L,True,True,True,True
full,pericentral,ENOSF1,True,True,True,True
full,pericentral,ARAP1,True,True,True,True
full,pericentral,MME,True,True,True,True
full,pericentral,GBP7,True,True,True,True
full,pericentral,NFX1,True,True,True,True
full,pericentral,TRPC4AP,True,True,True,True
full,pericentral,GGA2,True,True,True,True
full,pericentral,CYP4V2,True,True,True,True
full,pericentral,KLF6,True,True,True,True
full,pericentral,TRAF4,True,True,True,True
full,pericentral,MGRN1,True,True,True,True
full,pericentral,ECI2,True,True,True,True
full,pericentral,ACSM2A,True,True,True,True
full,pericentral,CNKSR3,True,True,True,True
full,pericentral,ATG4B,True,True,True,True
full,pericentral,PGPEP1,True,True,True,True
full,pericentral,KMT2C,True,True,True,True
full,pericentral,NEU4,True,True,True,True
full,pericentral,SEC16B,True,True,True,True
full,pericentral,CCNL2,True,True,True,True
full,pericentral,ABCA2,True,True,True,True
full,pericentral,KANSL3,True,True,True,True
full,pericentral,MVK,True,True,True,True
full,pericentral,C1orf52,True,True,True,True
full,pericentral,KDM5C,True,True,True,True
full,pericentral,CHRNA4,True,True,True,True
full,pericentral,GYS2,True,True,True,True
full,pericentral,LUC7L,True,True,True,True
full,pericentral,CCDC9,True,True,True,True
full,pericentral,NADK,True,True,True,True
full,pericentral,ELL2,True,True,True,True
full,pericentral,CCDC125,True,True,True,True
full,pericentral,VPS52,True,True,True,True
full,pericentral,CHERP,True,True,True,True
full,pericentral,KANSL1,True,True,True,True
full,pericentral,RAB26,True,True,True,True
full,pericentral,SUGP2,True,True,True,True
full,pericentral,ANKHD1,True,True,True,True
full,pericentral,ARHGEF10L,True,True,True,True
full,pericentral,COBL,True,True,True,True
full,pericentral,TEF,True,True,True,True
